in dim: 2
num labels: 5
num samples: 25000
starting
batch #175:	err: 0.03021475823582327
batch #176:	err: 0.021546741979809242
batch #177:	err: 0.060328904420596255
batch #178:	err: 0.022365869629829945
batch #179:	err: 0.04147109980293212
batch #180:	err: 0.021235096001359633
batch #181:	err: 0.04484335000771964
batch #182:	err: 0.03191402601253882
batch #183:	err: 0.0002641442174714327
batch #184:	err: 0.040124896416717286
batch #185:	err: 0.04099556134684402
batch #186:	err: 0.0416459374886004
batch #187:	err: 0.00040473116631700875
batch #188:	err: 0.04118761488994793
batch #189:	err: 0.0379568789027767
batch #190:	err: 0.05630879780973212
batch #191:	err: 0.010276190793602157
batch #192:	err: 0.05258548697172713
batch #193:	err: 0.059781085268382196
batch #194:	err: 0.07036349370287324
batch #195:	err: 0.00220412764765691
batch #196:	err: 0.06279004583088357
batch #197:	err: 0.06336368316826688
batch #198:	err: 0.04217970420234372
batch #199:	err: 0.0019076347838925837
batch #200:	err: 0.041577641801094994
batch #201:	err: 0.1602211971696842
batch #202:	err: 0.06482758720007828
batch #203:	err: 0.0006984681036181779
batch #204:	err: 0.039432431728657756
batch #205:	err: 0.00024811922606480537
batch #206:	err: 0.0001240138909728703
batch #207:	err: 7.930263301663735e-05
batch #208:	err: 0.01992604769964883
batch #209:	err: 0.02012655529563677
batch #210:	err: 0.0948229612832926
batch #211:	err: 0.04004523012473902
batch #212:	err: 0.08049993073517381
batch #213:	err: 0.03990739988634093
batch #214:	err: 0.020219335552315035
batch #215:	err: 0.01996778774090914
batch #216:	err: 9.819016076645907e-05
batch #217:	err: 0.0397707394149309
batch #218:	err: 0.044788840134797205
batch #219:	err: 0.03979818958221931
batch #220:	err: 0.019982584820053953
batch #221:	err: 0.0001925291418617601
batch #222:	err: 0.03958506033686726
batch #223:	err: 0.08546324036708156
batch #224:	err: 0.01999900737167939
batch #225:	err: 0.00023090568844032482
batch #226:	err: 0.039738721406918566
batch #227:	err: 0.03970752077539157
batch #228:	err: 0.0002036203328708613
batch #229:	err: 0.0345556863939989
batch #230:	err: 0.03962777216846496
batch #231:	err: 0.01993605728982183
batch #232:	err: 0.0396692818976645
batch #233:	err: 0.0001968173343492987
batch #234:	err: 0.019905184051262813
batch #235:	err: 0.05923286276839197
batch #236:	err: 0.000216498048196567
batch #237:	err: 0.019927418247957164
batch #238:	err: 0.05269639816700839
batch #239:	err: 0.12716920108317809
batch #240:	err: 0.04137104151552771
batch #241:	err: 0.0001992347540080181
batch #242:	err: 0.07433910854702053
batch #243:	err: 0.020197232634648815
batch #244:	err: 0.00016653965449737505
batch #245:	err: 0.019914713255466125
batch #246:	err: 0.019934064541710452
batch #247:	err: 0.03420321423156318
batch #248:	err: 0.07385470144478172
batch #249:	err: 0.019983238240498583
complete!
